#WAVELENGTH FLUX ERROR
1140.1903022034194 -8.518988974263921e-15 0.0
1140.2026312409128 1.3766096010510431e-13 0.0
1140.2149600345417 9.545959671602294e-14 0.0
1140.2272885843208 2.6136953929292717e-13 0.0
1140.239616890265 1.0703902499596685e-13 0.0
1140.2519449523882 2.2661998891489697e-14 0.0
1140.264272770705 2.246819267096023e-13 0.0
1140.27660034523 1.4108354411221814e-14 0.0
1140.2889276759777 -5.271928320326261e-14 0.0
1140.3012547629623 2.3998422064679115e-13 0.0
1140.3135816061983 1.387256059809036e-13 0.0
1140.325908205701 -1.198752468817288e-13 0.0
1140.3382345614834 6.918329976826967e-14 0.0
1140.350560673561 2.1496187805041672e-13 0.0
1140.3628865419473 1.4442231590326704e-13 0.0
1140.3752121666582 -1.4914779751951796e-13 0.0
1140.3875375477069 8.792304314079666e-14 0.0
1140.3998626851082 1.438009867432699e-14 0.0
1140.4121875788771 2.6265309913987844e-13 0.0
1140.4245122290272 -3.6818223708538766e-13 0.0
1140.4368366355739 1.999226928754358e-13 0.0
1140.4491607985303 -2.2283908117197437e-13 0.0
1140.4614847179125 2.5315486469265625e-13 0.0
1140.4738083937334 2.3361057554550924e-13 0.0
1140.4861318260084 -1.3067692273324022e-13 0.0
1140.4984550147512 -2.867498176840205e-13 0.0
1140.510777959977 1.5861560654327478e-13 0.0
1140.5231006616998 2.7225205596892454e-13 0.0
1140.5354231199344 3.290653882194461e-14 0.0
1140.5477453346948 2.546813129312986e-13 0.0
1140.5600673059957 -6.998606338556868e-14 0.0
1140.5723890338516 1.0924875099623671e-13 0.0
1140.5847105182766 -1.1671554293792713e-13 0.0
1140.5970317592853 2.878584957205499e-13 0.0
1140.6093527568921 1.9810819922461836e-13 0.0
1140.6216735111113 4.4271318788658906e-14 0.0
1140.633994021958 -1.4024497980037048e-13 0.0
1140.6463142894459 -2.427860430059825e-13 0.0
1140.6586343135891 1.585134882511538e-13 0.0
1140.670954094403 2.6158968654405035e-13 0.0
1140.6832736319016 1.504153247268436e-13 0.0
1140.695592926099 -1.2529705734325852e-13 0.0
1140.70791197701 -5.204906330154996e-14 0.0
1140.7202307846487 5.195028231924116e-14 0.0
1140.73254934903 -1.6701478524824842e-13 0.0
1140.744867670168 2.0392938910891029e-13 0.0
1140.757185748077 -9.052842839512437e-14 0.0
1140.7695035827721 1.7037316924015805e-13 0.0
1140.7818211742665 -6.424719832748629e-14 0.0
1140.794138522575 -4.73258097207635e-13 0.0
1140.8064556277127 1.0744681376182938e-13 0.0
1140.8187724896936 -1.6796315044104865e-13 0.0
1140.8310891085318 5.823373874043122e-14 0.0
1140.8434054842423 4.70442153115147e-13 0.0
1140.8557216168388 3.353463882450891e-13 0.0
1140.868037506336 1.398273315710019e-13 0.0
1140.880353152749 4.0660679575914294e-13 0.0
1140.8926685560907 -7.58715125773711e-14 0.0
1140.9049837163766 1.2659240788883558e-13 0.0
1140.917298633621 -2.0299022608204903e-13 0.0
1140.9296133078378 4.1339425372460825e-13 0.0
1140.941927739042 1.637241096820105e-13 0.0
1140.9542419272475 -1.766944473765089e-13 0.0
1140.9665558724687 1.9577927874801088e-13 0.0
1140.9788695747204 -1.3676919026570783e-13 0.0
1140.9911830340168 2.773041941472182e-13 0.0
1141.0034962503717 -4.342655250157146e-13 0.0
1141.0158092238003 -1.3245786032681922e-13 0.0
1141.028121954317 3.68683924535651e-13 0.0
1141.0404344419353 -6.56664176160171e-13 0.0
1141.0527466866704 -4.108217367367658e-15 0.0
1141.0650586885363 -1.6619510130079507e-13 0.0
1141.0773704475475 -1.4658035256496366e-13 0.0
1141.0896819637185 1.5429500667581142e-13 0.0
1141.1019932370632 -1.0802358898880093e-13 0.0
1141.1143042675963 9.079278127932522e-13 0.0
1141.1266150553322 7.495898433212966e-13 0.0
1141.1389256002851 3.934436869183766e-13 0.0
1141.1512359024696 3.4064954633136746e-13 0.0
